symbol,phase,hist_confirm,rsi_buy_max,rsi_sell_ob,stop_loss,take_profit,min_hold_bars,max_hold_bars,use_rvol,rvol_min,macd_fast,macd_slow,macd_sig,trades,wins,win_rate,profit_factor,sharpe,avg_win,avg_loss,wr_ratio,max_dd,max_cl,total_pnl,avg_hold,score
MOMENTUM,phase2 [seed 2],3,70,80,0.025,0.015,1,15,True,3.0,12,26,9,42,35,83.3,19.03,1.325,1.197,-0.315,3.81,0.6,2,39.706,4.2,116.67
MOMENTUM,phase2 [seed 2],3,70,80,0.025,0.015,1,20,True,3.0,12,26,9,42,35,83.3,19.03,1.325,1.197,-0.315,3.81,0.6,2,39.706,4.2,116.67
MOMENTUM,phase2 [seed 2],2,75,0,0.025,0.009999999999999998,1,15,True,3.0,12,26,9,70,59,84.3,19.79,1.508,0.917,-0.248,3.69,0.6,3,51.348,3.2,115.45
MOMENTUM,phase2 [seed 2],3,75,80,0.02,0.025,1,10,True,3.0,12,26,9,49,41,83.7,21.49,1.176,1.301,-0.31,4.19,0.6,2,50.848,4.8,115.18
MOMENTUM,phase2 [seed 2],2,65,75,0.02,0.009999999999999998,1,15,True,3.0,8,21,9,63,52,82.5,17.72,1.476,0.932,-0.248,3.75,0.6,3,45.705,3.0,115.13
MOMENTUM,phase2 [seed 2],3,65,75,0.02,0.015,1,10,True,3.0,12,26,9,35,28,80.0,14.64,1.159,1.151,-0.315,3.66,0.6,2,30.035,4.1,115.0
MOMENTUM,phase2 [seed 2],2,75,0,0.015,0.015,1,20,True,3.0,12,26,9,70,58,82.9,25.7,1.415,1.255,-0.236,5.32,0.6,3,69.969,4.4,114.52
MOMENTUM,phase2 [seed 2],3,65,80,0.02,0.025,1,20,True,3.0,12,26,9,35,28,80.0,18.37,1.089,1.445,-0.315,4.59,0.6,2,38.253,5.2,114.31
MOMENTUM,phase2 [seed 2],3,75,0,0.009999999999999998,0.025,1,10,True,3.0,12,26,9,49,40,81.6,13.85,1.13,1.663,-0.534,3.12,1.3,2,61.718,5.8,114.02
MOMENTUM,phase2 [seed 2],3,65,80,0.02,0.030000000000000002,1,10,True,3.0,12,26,9,35,28,80.0,18.76,1.06,1.476,-0.315,4.69,0.6,2,39.114,5.5,114.01
MOMENTUM,phase2 [seed 2],3,75,75,0.025,0.025,1,10,True,3.0,12,26,9,49,41,83.7,17.77,1.048,1.076,-0.31,3.47,0.6,2,41.625,4.1,113.9
MOMENTUM,phase2 [seed 2],2,75,75,0.015,0.009999999999999998,1,10,True,3.0,12,26,9,70,59,84.3,17.69,1.348,0.82,-0.248,3.3,0.6,3,45.63,2.9,113.85
MOMENTUM,phase2 [seed 2],2,75,75,0.025,0.009999999999999998,1,20,True,3.0,12,26,9,70,59,84.3,17.69,1.348,0.82,-0.248,3.3,0.6,3,45.63,2.9,113.85
MOMENTUM,phase2 [seed 2],3,75,75,0.015,0.025,1,20,True,3.0,12,26,9,49,41,83.7,17.97,1.039,1.088,-0.31,3.51,0.6,2,42.12,4.1,113.8
MOMENTUM,phase2 [seed 2],3,75,75,0.02,0.025,1,20,True,3.0,12,26,9,49,41,83.7,17.97,1.039,1.088,-0.31,3.51,0.6,2,42.12,4.1,113.8
MOMENTUM,phase2 [seed 2],3,70,75,0.009999999999999998,0.015,1,20,True,3.0,12,26,9,42,34,81.0,8.64,1.028,1.15,-0.566,2.03,1.0,2,34.573,4.0,113.28
MOMENTUM,phase2 [seed 2],3,75,0,0.009999999999999998,0.030000000000000002,2,20,True,3.0,12,26,9,49,40,81.6,9.4,0.984,1.775,-0.839,2.11,1.3,2,63.427,6.6,112.57
MOMENTUM,phase2 [seed 2],3,70,0,0.015,0.02,1,15,True,3.0,12,26,9,42,34,81.0,19.6,1.21,1.431,-0.31,4.61,0.9,3,46.17,5.2,112.24
MOMENTUM,phase2 [seed 2],2,70,70,0.015,0.009999999999999998,1,20,True,3.0,12,26,9,62,51,82.3,14.32,1.181,0.767,-0.248,3.09,0.6,3,36.399,2.7,112.18
MOMENTUM,phase2 [seed 2],3,75,70,0.02,0.025,1,20,True,3.0,12,26,9,49,41,83.7,15.79,0.864,0.849,-0.276,3.08,0.6,2,32.615,3.1,112.06
MOMENTUM,phase2 [seed 2],2,75,70,0.025,0.009999999999999998,1,10,True,3.0,12,26,9,71,60,84.5,15.54,1.168,0.708,-0.248,2.85,0.6,3,39.746,2.5,112.05
MOMENTUM,validate [seed 2],3,65,80,0.02,0.009999999999999998,1,15,True,3.0,8,21,9,24,22,91.7,50.0,2.674,0.973,-0.138,7.03,0.2,1,21.133,2.9,0.0
MOMENTUM,validate [seed 2],3,70,75,0.02,0.009999999999999998,1,10,True,3.0,12,26,9,29,26,89.7,10.17,1.272,0.971,-0.827,1.17,2.4,2,22.753,3.1,0.0
MOMENTUM,validate [seed 2],3,75,75,0.025,0.009999999999999998,1,20,True,3.0,12,26,9,33,30,90.9,9.41,1.148,0.935,-0.993,0.94,2.9,2,25.062,2.9,112.53
MOMENTUM,validate [seed 2],3,70,0,0.025,0.015,1,20,True,3.0,12,26,9,29,24,82.8,8.31,1.039,1.336,-0.772,1.73,2.9,2,28.207,4.4,0.0
MOMENTUM,validate [seed 2],3,70,80,0.025,0.015,1,15,True,3.0,12,26,9,29,24,82.8,8.31,1.039,1.336,-0.772,1.73,2.9,2,28.207,4.4,0.0
